datetime_ist,height_m,lsm_predicted_m,lstm_residual_m,combined_predicted_m
2024-12-03 06:00:00,1.36,1.1930848885251673,0.13464427,1.3277291584684046
2024-12-03 07:00:00,1.58,1.2270214203098528,0.10435353,1.331374952504944
2024-12-03 08:00:00,2.76,2.043268742291461,0.56468695,2.607955696312915
2024-12-03 09:00:00,3.81,3.4023319674340655,0.5530304,3.95536233910002
2024-12-03 10:00:00,4.67,4.65110990508121,0.09136351,4.74247341706079
2024-12-03 11:00:00,5.16,5.234855649476383,-0.096158765,5.1386968842199785
2024-12-03 12:00:00,5.19,5.055712177215863,0.02738711,5.083099287732292
2024-12-03 13:00:00,4.56,4.3814656159667456,0.1603758,4.541841419675776
2024-12-03 14:00:00,3.78,3.556395972087866,0.21499142,3.771387392595297
2024-12-03 15:00:00,3.01,2.8091474360956616,0.21782468,3.0269721186890073
2024-12-03 16:00:00,2.37,2.190538871119913,0.11576266,2.306301529537138
2024-12-03 17:00:00,1.82,1.6393005208582443,0.12799954,1.767300065001921
2024-12-03 18:00:00,1.38,1.1973599962608072,0.13713759,1.334497588099644
2024-12-03 19:00:00,1.28,1.161585617419175,0.089074135,1.2506597522458351
2024-12-03 20:00:00,2.46,1.8662109029788918,0.5639124,2.4301232946414895
2024-12-03 21:00:00,3.87,3.2409672367752367,0.54353976,3.784506999272185
2024-12-03 22:00:00,5.0,4.704475972799668,0.38111988,5.085595849899659
2024-12-03 23:00:00,5.66,5.59579651878608,-0.009505333,5.586291185407169
2024-12-04 00:00:00,5.74,5.662399012040532,0.030134594,5.692533606108463
2024-12-04 01:00:00,5.06,5.10598536480655,0.0707997,5.176785065722363
2024-12-04 02:00:00,4.23,4.284377840032755,-0.04590083,4.238477010896383
2024-12-04 03:00:00,3.46,3.4589981182653116,0.008716149,3.467714267520945
2024-12-04 04:00:00,2.7,2.7223707132538517,0.034449205,2.756819918056365
2024-12-04 05:00:00,2.1,2.043122192872471,0.04156653,2.0846887212523884
2024-12-04 06:00:00,1.64,1.426361730927529,0.19058655,1.6169482829514166
2024-12-04 07:00:00,1.46,1.0975499478435773,0.26645845,1.3640083995914716
2024-12-04 08:00:00,2.0,1.4218000324419122,0.4369237,1.8587237449339014
2024-12-04 09:00:00,3.22,2.501450038079655,0.6860963,3.1875463486951947
2024-12-04 10:00:00,4.24,3.9058050498562586,0.41126427,4.317069320400311
2024-12-04 11:00:00,4.98,4.942979498039951,0.04467521,4.9876547066681285
2024-12-04 12:00:00,5.29,5.206549999040454,0.03779854,5.244348537844508
2024-12-04 13:00:00,5.04,4.792094768448739,0.18234923,4.974444003268151
2024-12-04 14:00:00,4.26,4.052410126146385,0.21442276,4.266832888540336
2024-12-04 15:00:00,3.48,3.280589778544254,0.20234425,3.4829340322035023
2024-12-04 16:00:00,2.78,2.600007769187728,0.1326069,2.732614662965575
2024-12-04 17:00:00,2.19,2.004822416267093,0.11813123,2.1229536440584025
2024-12-04 18:00:00,1.67,1.4768363824906978,0.167632,1.644468381148878
2024-12-04 19:00:00,1.38,1.155791614459587,0.1940598,1.3498514185415038
2024-12-04 20:00:00,1.67,1.368046473070975,0.4306719,1.798718373581763
2024-12-04 21:00:00,3.06,2.328653899203609,0.7542447,3.0828985843766437
2024-12-04 22:00:00,4.3,3.779404685855821,0.5441172,4.323521898151354
2024-12-04 23:00:00,5.2,5.062329840312945,0.19444527,5.256775107632624
2024-12-05 00:00:00,5.69,5.631326974378591,-0.06420481,5.567122162328725
2024-12-05 01:00:00,5.57,5.42972848256195,0.10711572,5.536844205754642
2024-12-05 02:00:00,4.83,4.7674077815284255,0.062069103,4.829476884650183
2024-12-05 03:00:00,4.02,3.9684182742593856,0.045075312,4.013493586516199
2024-12-05 04:00:00,3.24,3.1945329860573186,0.07660427,3.271137255502261
2024-12-05 05:00:00,2.59,2.476389024347168,0.06667321,2.5430622361005364
2024-12-05 06:00:00,2.1,1.8084663130876975,0.19002089,1.9984872021315054
2024-12-05 07:00:00,1.73,1.2800215697606638,0.38937414,1.6693957066854075
2024-12-05 08:00:00,1.66,1.1620039073926687,0.45396653,1.61597043556993
2024-12-05 09:00:00,2.33,1.7394449718181664,0.5845649,2.3240098960582785
2024-12-05 10:00:00,3.48,2.943973871271297,0.5535755,3.4975493870183674
2024-12-05 11:00:00,4.34,4.239383093422024,0.25071678,4.4900998690777705
2024-12-05 12:00:00,4.92,5.006418748685738,-0.04433626,4.9620824893206565
2024-12-05 13:00:00,5.08,5.022997797863822,0.06960207,5.092599870102744
2024-12-05 14:00:00,4.71,4.510924873042893,0.18856515,4.699490022946191
2024-12-05 15:00:00,3.99,3.8061888170486062,0.1662446,3.972433413291511
2024-12-05 16:00:00,3.27,3.1046247174645445,0.18059702,3.2852217396403334
2024-12-05 17:00:00,2.64,2.46121523578354,0.11950221,2.5807174449104893
2024-12-05 18:00:00,2.1,1.8824166038744568,0.16911389,2.0515304932110427
2024-12-05 19:00:00,1.71,1.4189480103292103,0.25309864,1.672046647194826
2024-12-05 20:00:00,1.57,1.2606633320859024,0.3273782,1.5880415454915116
2024-12-05 21:00:00,2.4,1.686971237544847,0.54314,2.2301112316892864
2024-12-05 22:00:00,3.43,2.7714894420591007,0.717513,3.489002466866077
2024-12-05 23:00:00,4.4,4.138807629021034,0.34825492,4.487062548073158
2024-12-06 00:00:00,5.13,5.1642769487484,-0.05425152,5.1100254269226095
2024-12-06 01:00:00,5.44,5.466565944708194,-0.034540437,5.432025507546271
2024-12-06 02:00:00,5.26,5.131462386069442,0.010468293,5.141930679050828
2024-12-06 03:00:00,4.57,4.4756643236720715,0.10923863,4.584902955695406
2024-12-06 04:00:00,3.93,3.7328328137161595,0.13032176,3.8631545697214467
2024-12-06 05:00:00,3.28,2.9911055985341886,0.22266604,3.213771638597093
2024-12-06 06:00:00,2.66,2.2847112033472916,0.3173765,2.6020876977549454
2024-12-06 07:00:00,2.16,1.6657320613110296,0.4356017,2.1013337725842227
2024-12-06 08:00:00,1.82,1.2711481063772458,0.5454072,1.816555282395007
2024-12-06 09:00:00,1.78,1.3470284944940198,0.44459167,1.7916201657224287
2024-12-06 10:00:00,2.64,2.0680923488303526,0.49813384,2.56622618700708
2024-12-06 11:00:00,3.54,3.2498099198731567,0.2981331,3.5479430249127533
2024-12-06 12:00:00,4.34,4.353345749467997,0.024695994,4.37804174380043
2024-12-06 13:00:00,4.82,4.892228335298322,-0.049665295,4.84256304071071
2024-12-06 14:00:00,4.93,4.790857354906449,0.14292943,4.933786789682755
2024-12-06 15:00:00,4.5,4.300152212384788,0.18929213,4.489444345239249
2024-12-06 16:00:00,3.83,3.673540080293593,0.2197475,3.8932875789250705
2024-12-06 17:00:00,3.16,3.0241304388151433,0.1811794,3.2053098430738713
2024-12-06 18:00:00,2.59,2.399854957617141,0.13701019,2.5368651445277703
2024-12-06 19:00:00,2.11,1.8564263875419722,0.21783468,2.074261068814479
2024-12-06 20:00:00,1.8,1.4880353293883346,0.3006841,1.7887194238173507
2024-12-06 21:00:00,1.86,1.472807544105416,0.34440166,1.8172092016867454
2024-12-06 22:00:00,2.74,2.009925212911152,0.72725064,2.7371758485350837
2024-12-06 23:00:00,3.65,3.0724475061654544,0.51128006,3.5837275659799075
2024-12-07 00:00:00,4.47,4.260915139245507,0.22158816,4.482503303813455
2024-12-07 01:00:00,5.06,5.050766944441589,-0.04387839,5.006888553056511
2024-12-07 02:00:00,5.29,5.204103385296221,0.063796595,5.267899980035181
2024-12-07 03:00:00,5.01,4.860524350777876,0.07513775,4.935662100092184
2024-12-07 04:00:00,4.35,4.270814805588544,0.093405224,4.364220029971421
2024-12-07 05:00:00,3.74,3.5798609628216207,0.11015187,3.690012834860462
2024-12-07 06:00:00,3.12,2.8569302068285083,0.20901205,3.0659422532848453
2024-12-07 07:00:00,2.56,2.1798473622446064,0.3041593,2.4840066756849293
2024-12-07 08:00:00,2.1,1.6415994745653444,0.43884748,2.080446956769782
2024-12-07 09:00:00,1.88,1.3726911289847934,0.4691045,1.841795627609595
2024-12-07 10:00:00,2.06,1.5597735087390723,0.44669598,2.0064694921489536
2024-12-07 11:00:00,2.85,2.2959352655276244,0.5643729,2.8603081626757567
2024-12-07 12:00:00,3.69,3.3610150107622556,0.30705613,3.668071139740985
2024-12-07 13:00:00,4.39,4.281576387958411,0.12004403,4.401620418207529
2024-12-07 14:00:00,4.76,4.697455557604804,0.094831616,4.7922871732912204
2024-12-07 15:00:00,4.77,4.60287508938106,0.21078074,4.813655829165301
2024-12-07 16:00:00,4.25,4.201815855273571,0.16662885,4.368444707760181
2024-12-07 17:00:00,3.69,3.6540248058424316,0.025467696,3.6794925015107713
2024-12-07 18:00:00,3.13,3.036691715556051,0.08678256,3.1234742753085154
2024-12-07 19:00:00,2.6,2.433421807927239,0.16609329,2.5995150977793813
2024-12-07 20:00:00,2.19,1.9416366009969819,0.20789777,2.1495343684215653
2024-12-07 21:00:00,1.94,1.6533800678384754,0.32907477,1.9824548380506488
2024-12-07 22:00:00,2.04,1.7021437918762317,0.39533883,2.0974826252082934
2024-12-07 23:00:00,2.94,2.22715869956639,0.58591276,2.813071463638808
