datetime_ist,datetime_utc,predicted_height_m
2024-06-20 10:00:00,2024-06-20 04:30:00,5.5163822382307925
2024-06-20 11:00:00,2024-06-20 05:30:00,4.927119071939299
2024-06-20 12:00:00,2024-06-20 06:30:00,4.131625580786562
2024-06-20 13:00:00,2024-06-20 07:30:00,3.316565239335522
2024-06-20 14:00:00,2024-06-20 08:30:00,2.612192575829161
2024-06-20 15:00:00,2024-06-20 09:30:00,2.0770153544846406
2024-06-20 16:00:00,2024-06-20 10:30:00,1.760931865697044
2024-06-20 17:00:00,2024-06-20 11:30:00,1.901835945596057
2024-06-20 18:00:00,2024-06-20 12:30:00,2.6802483520771663
2024-06-20 19:00:00,2024-06-20 13:30:00,3.791291470005519
2024-06-20 20:00:00,2024-06-20 14:30:00,4.710520271664345
2024-06-20 21:00:00,2024-06-20 15:30:00,5.174513604478963
2024-06-20 22:00:00,2024-06-20 16:30:00,5.146130811694304
2024-06-20 23:00:00,2024-06-20 17:30:00,4.693616900356365
2024-06-21 00:00:00,2024-06-20 18:30:00,3.9975890646209202
2024-06-21 01:00:00,2024-06-20 19:30:00,3.2413851353542884
2024-06-21 02:00:00,2024-06-20 20:30:00,2.5430613737931096
2024-06-21 03:00:00,2024-06-20 21:30:00,1.9625693427642688
2024-06-21 04:00:00,2024-06-20 22:30:00,1.550011061683474
2024-06-21 05:00:00,2024-06-20 23:30:00,1.5496851791730195
2024-06-21 06:00:00,2024-06-21 00:30:00,2.280155928882329
2024-06-21 07:00:00,2024-06-21 01:30:00,3.585225006591284
2024-06-21 08:00:00,2024-06-21 02:30:00,4.8597318668067295
2024-06-21 09:00:00,2024-06-21 03:30:00,5.664303991360272
2024-06-21 10:00:00,2024-06-21 04:30:00,5.877742638447119
2024-06-21 11:00:00,2024-06-21 05:30:00,5.514633390368544
2024-06-21 12:00:00,2024-06-21 06:30:00,4.756633625799349
2024-06-21 13:00:00,2024-06-21 07:30:00,3.8821766035556893
2024-06-21 14:00:00,2024-06-21 08:30:00,3.0723289594126593
2024-06-21 15:00:00,2024-06-21 09:30:00,2.3932475353161395
2024-06-21 16:00:00,2024-06-21 10:30:00,1.8566569297490356
2024-06-21 17:00:00,2024-06-21 11:30:00,1.5918447483327296
2024-06-21 18:00:00,2024-06-21 12:30:00,1.9306887183719224
2024-06-21 19:00:00,2024-06-21 13:30:00,2.9534134848757896
2024-06-21 20:00:00,2024-06-21 14:30:00,4.1688613169297755
2024-06-21 21:00:00,2024-06-21 15:30:00,5.025517854012025
2024-06-21 22:00:00,2024-06-21 16:30:00,5.352776717632154
2024-06-21 23:00:00,2024-06-21 17:30:00,5.171573593984737
2024-06-22 00:00:00,2024-06-21 18:30:00,4.575386909315249
2024-06-22 01:00:00,2024-06-21 19:30:00,3.782267468936919
2024-06-22 02:00:00,2024-06-21 20:30:00,3.000736112441814
2024-06-22 03:00:00,2024-06-21 21:30:00,2.3174766201192125
2024-06-22 04:00:00,2024-06-21 22:30:00,1.7408200682151902
2024-06-22 05:00:00,2024-06-21 23:30:00,1.3722429279790693
2024-06-22 06:00:00,2024-06-22 00:30:00,1.5724530754433654
2024-06-22 07:00:00,2024-06-22 01:30:00,2.6059304116214577
2024-06-22 08:00:00,2024-06-22 02:30:00,4.0947683235323575
2024-06-22 09:00:00,2024-06-22 03:30:00,5.327672120353509
2024-06-22 10:00:00,2024-06-22 04:30:00,5.944748739778956
2024-06-22 11:00:00,2024-06-22 05:30:00,5.92467015142219
2024-06-22 12:00:00,2024-06-22 06:30:00,5.351078476022984
2024-06-22 13:00:00,2024-06-22 07:30:00,4.470005771358187
2024-06-22 14:00:00,2024-06-22 08:30:00,3.582450132910235
2024-06-22 15:00:00,2024-06-22 09:30:00,2.8238785135822413
2024-06-22 16:00:00,2024-06-22 10:30:00,2.18554286666258
2024-06-22 17:00:00,2024-06-22 11:30:00,1.677350598184731
2024-06-22 18:00:00,2024-06-22 12:30:00,1.5352714772998426
2024-06-22 19:00:00,2024-06-22 13:30:00,2.120783101327365
2024-06-22 20:00:00,2024-06-22 14:30:00,3.3436391511445454
2024-06-22 21:00:00,2024-06-22 15:30:00,4.564130789948583
2024-06-22 22:00:00,2024-06-22 16:30:00,5.285028293267063
2024-06-22 23:00:00,2024-06-22 17:30:00,5.441689582534412
2024-06-23 00:00:00,2024-06-22 18:30:00,5.087957854922766
2024-06-23 01:00:00,2024-06-22 19:30:00,4.349903988393258
2024-06-23 02:00:00,2024-06-22 20:30:00,3.498356118518126
2024-06-23 03:00:00,2024-06-22 21:30:00,2.7404844094853726
2024-06-23 04:00:00,2024-06-22 22:30:00,2.0976453878032295
2024-06-23 05:00:00,2024-06-22 23:30:00,1.5528070174214654
2024-06-23 06:00:00,2024-06-23 00:30:00,1.3030327673332183
2024-06-23 07:00:00,2024-06-23 01:30:00,1.7780254310178163
2024-06-23 08:00:00,2024-06-23 02:30:00,3.087820875112849
2024-06-23 09:00:00,2024-06-23 03:30:00,4.63312415137531
2024-06-23 10:00:00,2024-06-23 04:30:00,5.698662686353853
2024-06-23 11:00:00,2024-06-23 05:30:00,6.069600585011114
2024-06-23 12:00:00,2024-06-23 06:30:00,5.815650942039106
2024-06-23 13:00:00,2024-06-23 07:30:00,5.069827468331945
2024-06-23 14:00:00,2024-06-23 08:30:00,4.128259624279172
2024-06-23 15:00:00,2024-06-23 09:30:00,3.283718965780983
2024-06-23 16:00:00,2024-06-23 10:30:00,2.5974872885303975
2024-06-23 17:00:00,2024-06-23 11:30:00,2.004104383016372
2024-06-23 18:00:00,2024-06-23 12:30:00,1.560887365335263
2024-06-23 19:00:00,2024-06-23 13:30:00,1.6012535666862946
2024-06-23 20:00:00,2024-06-23 14:30:00,2.4354061249608243
2024-06-23 21:00:00,2024-06-23 15:30:00,3.775149995545001
2024-06-23 22:00:00,2024-06-23 16:30:00,4.908052783488014
2024-06-23 23:00:00,2024-06-23 17:30:00,5.450250635446311
2024-06-24 00:00:00,2024-06-23 18:30:00,5.423330320002328
2024-06-24 01:00:00,2024-06-23 19:30:00,4.897630453693339
2024-06-24 02:00:00,2024-06-23 20:30:00,4.051437283734688
2024-06-24 03:00:00,2024-06-23 21:30:00,3.1995053704180236
2024-06-24 04:00:00,2024-06-23 22:30:00,2.5023283011538595
2024-06-24 05:00:00,2024-06-23 23:30:00,1.9110801403485735
2024-06-24 06:00:00,2024-06-24 00:30:00,1.437120904879352
2024-06-24 07:00:00,2024-06-24 01:30:00,1.3823990257547076
2024-06-24 08:00:00,2024-06-24 02:30:00,2.153331732800088
2024-06-24 09:00:00,2024-06-24 03:30:00,3.639245585302562
2024-06-24 10:00:00,2024-06-24 04:30:00,5.0956264628871875
2024-06-24 11:00:00,2024-06-24 05:30:00,5.916626950834655
2024-06-24 12:00:00,2024-06-24 06:30:00,6.044458834723622
2024-06-24 13:00:00,2024-06-24 07:30:00,5.5948262865347145
2024-06-24 14:00:00,2024-06-24 08:30:00,4.732465734248455
2024-06-24 15:00:00,2024-06-24 09:30:00,3.791170694857678
2024-06-24 16:00:00,2024-06-24 10:30:00,3.022060846567286
2024-06-24 17:00:00,2024-06-24 11:30:00,2.402109886929612
2024-06-24 18:00:00,2024-06-24 12:30:00,1.851909028879939
2024-06-24 19:00:00,2024-06-24 13:30:00,1.512538405656894
2024-06-24 20:00:00,2024-06-24 14:30:00,1.7702676177889782
2024-06-24 21:00:00,2024-06-24 15:30:00,2.8113085844021937
2024-06-24 22:00:00,2024-06-24 16:30:00,4.170763484155331
2024-06-24 23:00:00,2024-06-24 17:30:00,5.151259958968524
2024-06-25 00:00:00,2024-06-24 18:30:00,5.5056117876200155
2024-06-25 01:00:00,2024-06-24 19:30:00,5.3066643756716605
2024-06-25 02:00:00,2024-06-24 20:30:00,4.63980287927075
